Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1996,3.4,3.0,3.0,2.3,2.8,2.9,3.0,2.7,2.4,2.5,2.6,2.2
1997,2.7,2.7,2.6,2.1,2.3,2.7,2.5,2.5,2.3,2.1,2.0,1.9
1998,2.3,2.2,2.2,1.9,2.1,2.3,2.5,2.1,1.9,2.1,1.9,1.5
1999,1.9,2.0,1.8,1.7,1.8,2.0,2.2,2.0,1.8,2.0,2.0,1.9
2000,2.9,2.9,2.8,2.2,2.9,3.1,3.1,3.1,2.7,2.8,3.1,2.8
2001,3.6,3.7,3.8,3.6,3.7,4.1,4.1,4.7,4.4,4.8,5.3,5.0
2002,5.7,5.4,5.5,5.5,5.4,5.8,5.7,5.6,5.1,5.3,5.8,5.6
2003,5.7,5.4,5.3,5.4,5.4,6.0,5.6,5.4,4.9,4.8,5.0,4.4
2004,4.9,4.6,4.6,4.3,4.4,4.9,4.6,4.3,3.6,3.9,4.3,4.1
2005,4.5,4.7,4.3,4.2,4.3,4.7,4.7,4.4,4.0,4.0,4.2,3.7
2006,3.8,4.1,3.7,3.7,3.9,4.2,4.4,4.2,3.8,3.7,3.9,3.6
2007,4.1,4.0,3.6,3.7,3.7,4.2,4.2,3.9,3.7,3.7,3.7,3.8
2008,4.1,4.1,4.0,3.8,4.5,4.9,5.2,5.0,4.6,4.5,5.8,6.2
2009,7.3,7.7,7.3,7.1,7.7,8.1,8.1,7.9,7.7,7.7,7.7,7.8
2010,8.9,8.8,8.5,8.1,8.2,8.4,8.3,8.1,7.6,7.5,7.8,7.6
2011,8.1,8.0,7.7,7.5,7.8,8.5,8.4,8.6,8.0,7.8,7.5,7.5
2012,7.8,7.7,7.3,6.9,7.3,7.9,8.1,7.8,6.9,6.9,6.8,7.0
2013,7.4,6.9,6.4,6.0,6.4,6.9,6.8,6.4,5.7,5.7,5.4,5.1
2014,5.4,5.4,5.4,4.5,5.2,5.3,5.8,5.6,4.9,4.8,4.8,4.5
2015,5.1,4.9,4.8,4.6,5.3,5.5,5.6,5.3,4.7,4.8,4.7,4.5
2016,4.8,4.6,4.5,4.1,4.2,4.7,4.7,4.7,4.4,4.4,4.3,4.2
2017,4.5,4.3,4.0,3.6,3.8,4.1,4.3,4.3,3.7,3.6,3.8,3.6
2018,3.8,3.8,3.5,3.2,3.2,3.8,3.7,3.6,3.0,3.2,3.2,3.3
2019,4.0,3.7,3.7,3.2,3.7,4.1,4.0,3.9,,,,